service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1527,1,1,1,1,1,1,1,20140623,20141213
1526,1,1,1,1,1,1,1,20140623,20141213
1520,1,1,1,1,1,1,1,20140623,20141213
1518,1,1,1,1,1,1,1,20140623,20141213
2284,1,1,1,1,1,1,1,20140623,20141213
2283,1,1,1,1,1,1,1,20140623,20141213
2282,1,1,1,1,1,1,1,20140623,20141213
1514,1,1,1,1,1,1,1,20140623,20141213
1513,1,1,1,1,1,1,1,20140623,20141213
743,0,1,0,1,0,0,0,20140623,20141213
741,1,1,1,1,1,1,1,20140623,20141213
2271,1,1,1,1,1,1,1,20140623,20141213
736,1,0,1,1,0,0,0,20140623,20141213
2270,1,1,1,1,1,1,1,20140623,20141213
2269,1,1,1,1,1,1,1,20140623,20141213
2267,1,1,1,1,1,1,1,20140623,20141213
2266,1,1,1,1,1,1,1,20140623,20141213
2265,1,1,1,0,0,0,0,20140623,20141213
729,0,0,1,0,1,0,0,20140623,20141213
2261,1,1,1,1,1,1,1,20140623,20141213
2260,1,1,1,1,1,1,1,20140623,20141213
2259,1,1,1,1,1,1,1,20140623,20141213
2258,1,1,1,1,1,1,1,20140623,20141213
721,0,1,0,0,1,0,0,20140623,20141213
1487,1,1,1,1,1,1,1,20140623,20141213
2254,1,1,1,1,1,1,1,20140623,20141213
2252,1,1,1,1,1,1,1,20140623,20141213
717,1,1,1,1,1,1,1,20140623,20141213
2251,1,1,1,1,1,1,1,20140623,20141213
2249,1,1,1,1,1,1,1,20140623,20141213
1481,1,1,1,1,1,1,1,20140623,20141213
1479,1,1,1,1,1,1,1,20140623,20141213
2242,1,1,1,1,1,1,1,20140623,20141213
1474,1,1,1,1,1,1,1,20140623,20141213
2241,1,1,1,1,1,1,1,20140623,20141213
2240,1,1,1,1,1,1,1,20140623,20141213
702,1,1,1,1,1,1,1,20140623,20141213
700,1,1,1,1,1,1,1,20140623,20141213
2234,1,1,1,1,1,1,1,20140623,20141213
2233,1,1,1,1,1,1,1,20140623,20141213
2225,1,1,1,1,1,1,1,20140623,20141213
1442,1,1,1,1,1,1,1,20140623,20141213
2208,1,1,1,1,1,1,1,20140623,20141213
2202,1,1,1,1,1,1,1,20140623,20141213
1372,1,1,1,1,1,1,1,20140623,20141213
1368,1,1,1,1,1,1,1,20140623,20141213
1361,1,1,1,1,1,1,1,20140623,20141213
590,1,1,1,1,1,1,1,20140623,20141213
589,1,1,1,1,1,1,1,20140623,20141213
587,1,1,1,1,1,1,1,20140623,20141213
2110,1,1,1,1,1,1,1,20140623,20141213
2108,1,1,1,1,1,1,1,20140623,20141213
572,1,1,1,1,1,1,1,20140623,20141213
2105,1,1,1,1,1,1,1,20140623,20141213
570,1,1,1,1,1,1,1,20140623,20141213
566,1,1,1,1,1,1,1,20140623,20141213
2099,1,1,1,1,1,1,1,20140623,20141213
2098,1,1,1,1,1,1,1,20140623,20141213
564,1,1,1,1,1,1,1,20140623,20141213
2097,1,1,1,1,1,1,1,20140623,20141213
562,1,1,1,1,1,1,1,20140623,20141213
561,1,1,1,1,1,1,1,20140623,20141213
559,1,1,1,1,1,1,1,20140623,20141213
558,1,1,1,1,1,1,1,20140623,20141213
556,1,1,1,1,1,1,1,20140623,20141213
555,1,1,1,1,1,1,1,20140623,20141213
2088,0,0,0,0,1,0,1,20140623,20141213
554,1,1,1,1,1,1,1,20140623,20141213
552,1,1,1,1,1,1,1,20140623,20141213
2085,1,1,1,1,1,1,1,20140623,20141213
551,1,1,1,1,1,1,1,20140623,20141213
2084,1,1,1,1,1,1,1,20140623,20141213
550,1,1,1,1,1,1,1,20140623,20141213
548,1,1,1,1,1,1,1,20140623,20141213
2081,1,1,1,1,1,1,1,20140623,20141213
547,1,1,1,1,1,1,1,20140623,20141213
2080,1,1,1,1,1,1,1,20140623,20141213
546,1,1,1,1,1,1,1,20140623,20141213
2079,1,1,1,1,1,1,1,20140623,20141213
545,1,1,1,1,1,1,1,20140623,20141213
2078,1,1,1,1,1,1,1,20140623,20141213
2077,0,1,1,1,1,0,0,20140623,20141213
543,1,1,1,1,1,1,1,20140623,20141213
542,1,1,1,1,1,1,1,20140623,20141213
2074,1,1,1,1,1,1,1,20140623,20141213
2073,1,1,1,1,1,1,1,20140623,20141213
539,1,1,1,1,1,1,1,20140623,20141213
2072,1,1,1,1,1,1,1,20140623,20141213
2070,1,1,1,1,1,1,1,20140623,20141213
2069,1,1,1,1,1,1,1,20140623,20141213
2068,1,1,1,1,1,1,1,20140623,20141213
2067,1,1,1,1,1,1,1,20140623,20141213
528,1,1,1,1,1,1,1,20140623,20141213
526,1,1,1,1,1,1,1,20140623,20141213
523,1,1,1,1,1,1,1,20140623,20141213
2055,1,1,1,1,1,1,1,20140623,20141213
2054,1,1,1,1,1,1,1,20140623,20141213
2052,1,1,1,1,1,1,1,20140623,20141213
2051,1,1,1,1,1,1,1,20140623,20141213
2049,1,1,1,1,1,1,1,20140623,20141213
2048,1,1,1,1,1,1,1,20140623,20141213
2047,1,1,1,1,1,1,1,20140623,20141213
512,1,1,1,1,1,1,1,20140623,20141213
2046,1,1,1,1,1,1,1,20140623,20141213
511,1,1,1,1,1,1,1,20140623,20141213
1278,1,1,1,1,1,1,1,20140623,20141213
510,1,1,1,1,1,1,1,20140623,20141213
2044,1,1,1,1,1,1,1,20140623,20141213
509,1,1,1,1,1,1,1,20140623,20141213
2043,1,1,1,1,1,1,1,20140623,20141213
2042,1,1,1,1,1,1,1,20140623,20141213
506,1,1,1,1,1,1,1,20140623,20141213
2040,1,1,1,1,1,1,1,20140623,20141213
2039,1,1,1,1,1,1,1,20140623,20141213
2022,1,1,1,1,1,1,1,20140623,20141213
2021,1,1,1,1,1,1,1,20140623,20141213
2019,1,1,1,1,1,1,1,20140623,20141213
2018,1,1,1,1,1,1,1,20140623,20141213
