service_id,date,exception_type
2,20140705,1
2,20140712,1
2,20140719,1
2,20140726,1
2,20140802,1
2,20140809,1
2,20140816,1
2,20140823,1
2,20140830,1
2,20140906,1
2,20140913,1
2,20140920,1
2,20140927,1
2,20141004,1
2,20141011,1
2,20141018,1
2,20141101,1
2,20141108,1
2,20141115,1
2,20141122,1
2,20141129,1
2,20141206,1
2,20141213,1
3,20140705,1
3,20140712,1
3,20140719,1
3,20140726,1
3,20140802,1
3,20140809,1
3,20140816,1
3,20140823,1
3,20140906,1
3,20140913,1
3,20140920,1
3,20140927,1
3,20141004,1
3,20141011,1
3,20141018,1
3,20141025,1
3,20141101,1
3,20141108,1
3,20141115,1
3,20141122,1
3,20141129,1
3,20141206,1
3,20141213,1
5,20140628,1
5,20140705,1
5,20140712,1
5,20140719,1
5,20140726,1
5,20140802,1
5,20140809,1
5,20140816,1
5,20140823,1
5,20140906,1
5,20140913,1
5,20140920,1
5,20140927,1
5,20141004,1
5,20141011,1
5,20141018,1
5,20141025,1
5,20141101,1
5,20141108,1
5,20141115,1
5,20141122,1
5,20141129,1
5,20141206,1
5,20141213,1
7,20140629,1
7,20140706,1
7,20140713,1
7,20140720,1
7,20140727,1
7,20140803,1
8,20140810,1
8,20140817,1
8,20140824,1
8,20140831,1
8,20140907,1
8,20140914,1
8,20140921,1
8,20140928,1
8,20141005,1
8,20141012,1
8,20141019,1
8,20141026,1
8,20141102,1
8,20141109,1
8,20141116,1
8,20141123,1
8,20141130,1
8,20141207,1
9,20140809,2
9,20140810,2
9,20140920,2
9,20140921,2
9,20141020,2
9,20141021,2
9,20141022,2
9,20141023,2
10,20140628,2
10,20140629,2
10,20140705,2
10,20140706,2
10,20140712,2
10,20140713,2
10,20140719,2
10,20140720,2
10,20140726,2
10,20140727,2
10,20140802,2
10,20140803,2
10,20140809,2
10,20140810,2
10,20140816,2
10,20140817,2
10,20140823,2
10,20140824,2
10,20140830,2
10,20140831,2
10,20140901,2
10,20140902,2
10,20140903,2
10,20140904,2
10,20140906,2
10,20140907,2
10,20140908,2
10,20140909,2
10,20140910,2
10,20140911,2
10,20140913,2
10,20140914,2
10,20140915,2
10,20140916,2
10,20140917,2
10,20140918,2
10,20140920,2
10,20140921,2
10,20140927,2
10,20140928,2
10,20141004,2
10,20141005,2
10,20141011,2
10,20141012,2
10,20141018,2
10,20141019,2
10,20141025,2
10,20141026,2
10,20141101,2
10,20141102,2
10,20141108,2
10,20141109,2
10,20141115,2
10,20141116,2
10,20141122,2
10,20141123,2
10,20141129,2
10,20141130,2
10,20141206,2
10,20141207,2
10,20141213,2
11,20140705,1
11,20140706,1
11,20140712,1
11,20140713,1
11,20140719,1
11,20140720,1
11,20140726,1
11,20140727,1
11,20140802,1
11,20140803,1
11,20140810,1
11,20140816,1
11,20140817,1
11,20140823,1
11,20140824,1
11,20140830,1
11,20140831,1
11,20140906,1
11,20140907,1
11,20140913,1
11,20140914,1
11,20140921,1
11,20140927,1
11,20140928,1
11,20141004,1
11,20141005,1
11,20141011,1
11,20141012,1
11,20141018,1
11,20141019,1
11,20141025,1
11,20141026,1
11,20141101,1
11,20141102,1
11,20141108,1
11,20141109,1
11,20141115,1
11,20141116,1
11,20141122,1
11,20141123,1
11,20141129,1
11,20141130,1
11,20141206,1
11,20141207,1
11,20141213,1
12,20140809,2
12,20140920,2
12,20140921,2
13,20140629,1
13,20140706,1
13,20140713,1
13,20140720,1
13,20140803,1
13,20140810,1
13,20140817,1
13,20140824,1
13,20140831,1
13,20140907,1
13,20140914,1
13,20140921,1
13,20140928,1
13,20141005,1
13,20141012,1
13,20141019,1
13,20141026,1
13,20141102,1
13,20141109,1
13,20141116,1
13,20141123,1
13,20141130,1
13,20141207,1
14,20140706,1
14,20140713,1
14,20140720,1
14,20140803,1
14,20140810,1
14,20140817,1
14,20140824,1
14,20140907,1
14,20140914,1
14,20140921,1
14,20140928,1
14,20141005,1
14,20141012,1
14,20141019,1
14,20141026,1
14,20141102,1
14,20141109,1
14,20141116,1
14,20141123,1
14,20141130,1
14,20141207,1
15,20140706,1
15,20140713,1
15,20140720,1
15,20140727,1
15,20140803,1
15,20140810,1
15,20140817,1
15,20140824,1
15,20140907,1
15,20140914,1
15,20140921,1
15,20140928,1
15,20141005,1
15,20141012,1
15,20141019,1
15,20141026,1
15,20141102,1
15,20141109,1
15,20141116,1
15,20141123,1
15,20141130,1
15,20141207,1
17,20140623,1
17,20140624,1
17,20140625,1
17,20140626,1
17,20140627,1
17,20140630,1
17,20140701,1
17,20140702,1
17,20140703,1
17,20140704,1
17,20140707,1
17,20140708,1
17,20140709,1
17,20140710,1
17,20140711,1
17,20140714,1
17,20140715,1
17,20140716,1
17,20140717,1
17,20140718,1
17,20140721,1
17,20140722,1
17,20140723,1
17,20140724,1
17,20140725,1
17,20140728,1
17,20140729,1
17,20140730,1
17,20140731,1
17,20140801,1
17,20140804,1
17,20140805,1
17,20140806,1
17,20140807,1
17,20140808,1
17,20140811,1
17,20140812,1
17,20140813,1
17,20140814,1
17,20140815,1
18,20140706,1
18,20140713,1
18,20140720,1
18,20140727,1
18,20140803,1
18,20140810,1
18,20140817,1
18,20140824,1
18,20140831,1
18,20140907,1
18,20140914,1
18,20140921,1
18,20140928,1
18,20141005,1
18,20141012,1
18,20141019,1
18,20141026,1
18,20141102,1
18,20141109,1
18,20141116,1
18,20141123,1
18,20141130,1
18,20141207,1
21,20140623,1
21,20140624,1
21,20140630,1
21,20140701,1
21,20140702,1
21,20140703,1
21,20140704,1
21,20140707,1
21,20140708,1
21,20140709,1
21,20140710,1
21,20140711,1
20,20140628,1
20,20140705,1
20,20140712,1
20,20140726,1
20,20140802,1
20,20140809,1
20,20140816,1
20,20140823,1
20,20140830,1
20,20140906,1
20,20140913,1
20,20140920,1
20,20140927,1
20,20141004,1
20,20141011,1
20,20141018,1
20,20141025,1
20,20141101,1
20,20141108,1
20,20141115,1
20,20141122,1
20,20141129,1
20,20141206,1
20,20141213,1
23,20140623,1
23,20140624,1
23,20140625,1
23,20140626,1
23,20140627,1
23,20140628,1
23,20140629,1
23,20140630,1
23,20140701,1
23,20140702,1
23,20140703,1
23,20140704,1
23,20140705,1
23,20140706,1
23,20140707,1
23,20140708,1
23,20140709,1
23,20140710,1
23,20140711,1
22,20140629,1
22,20140706,1
22,20140713,1
25,20140623,1
25,20140627,1
25,20140630,1
25,20140704,1
25,20140707,1
25,20140711,1
25,20140714,1
25,20140718,1
25,20140721,1
25,20140725,1
25,20140728,1
25,20140801,1
25,20140804,1
25,20140808,1
25,20140815,1
24,20140623,1
24,20140624,1
24,20140625,1
24,20140626,1
24,20140627,1
24,20140628,1
24,20140630,1
24,20140701,1
24,20140702,1
24,20140703,1
24,20140704,1
24,20140705,1
24,20140707,1
24,20140708,1
24,20140709,1
24,20140710,1
24,20140711,1
26,20140623,1
26,20140627,1
26,20140630,1
26,20140704,1
26,20140707,1
26,20140711,1
26,20140714,1
26,20140718,1
26,20140721,1
26,20140725,1
26,20140728,1
26,20140801,1
26,20140804,1
26,20140808,1
26,20140815,1
26,20140822,1
26,20140829,1
26,20140905,1
26,20140912,1
26,20140919,1
26,20140926,1
26,20141003,1
26,20141010,1
26,20141017,1
26,20141024,1
26,20141031,1
26,20141107,1
26,20141114,1
26,20141121,1
26,20141128,1
26,20141205,1
26,20141212,1
29,20140705,1
29,20140712,1
29,20140719,1
29,20140726,1
29,20140802,1
29,20140809,1
29,20140816,1
29,20140823,1
29,20140830,1
29,20140906,1
29,20140913,1
29,20140927,1
29,20141004,1
29,20141011,1
29,20141018,1
29,20141025,1
29,20141101,1
29,20141108,1
29,20141115,1
29,20141122,1
29,20141129,1
29,20141206,1
29,20141213,1
28,20140629,1
28,20140706,1
28,20140713,1
28,20140720,1
28,20140727,1
