route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
267_502_BLT,267,502,,,3,http://www.ResRobot.se,,
269_643_TLT_272,269,643,Länstaxi,,3,http://www.ResRobot.se,,
269_224_TLT_271,269,224,Länstaxi,,3,http://www.ResRobot.se,,
275_892_BLT,275,892,,,3,http://www.ResRobot.se,,
279_3520_BLT_262,279,520,,,3,http://www.ResRobot.se,,
269_111_BLT_272,269,111,,,3,http://www.ResRobot.se,,
269_111_BLT_273,269,111,,,3,http://www.ResRobot.se,,
279_4366_TLT_262,279,866,Länstaxi,,3,http://www.ResRobot.se,,
252_570_BLT,252,570,,,3,http://www.ResRobot.se,,
276_445_BLT,276,445,Ringbuss,,3,http://www.ResRobot.se,,
275_812_BLT,275,812,,,3,http://www.ResRobot.se,,
279_6932_BLT_262,279,932,,,3,http://www.ResRobot.se,,
267_704_BLT,267,704,,,3,http://www.ResRobot.se,,
267_157_BLT,267,157,,,3,http://www.ResRobot.se,,
275_758_BLT,275,758,,,3,http://www.ResRobot.se,,
279_4240_TLT_262,279,740,Länstaxi,,3,http://www.ResRobot.se,,
279_5506_BLT_262,279,506,,,3,http://www.ResRobot.se,,
275_708_BLT,275,708Y,,,3,http://www.ResRobot.se,,
279_2162_BLT_262,279,162,,,3,http://www.ResRobot.se,,
252_561_BLT,252,561,,,3,http://www.ResRobot.se,,
275_47_BLT,275,21,Ersätter Lidingöbanan,,3,http://www.ResRobot.se,,
245_JLT,245,,Inlandsbanan,,2,http://www.ResRobot.se,,
269_413_BLT,269,413,,,3,http://www.ResRobot.se,,
266_86_BLT,266,86,,,3,http://www.ResRobot.se,,
266_56_BLT,266,56,,,3,http://www.ResRobot.se,,
252_63_BLT,252,63,,,3,http://www.ResRobot.se,,
253_573_TLT,253,573,Länstaxi,,3,http://www.ResRobot.se,,
258_840_BLT,258,840,,,3,http://www.ResRobot.se,,
275_442_BLT,275,442,,,3,http://www.ResRobot.se,,
253_2_SLT,253,2,,,0,http://www.ResRobot.se,,
252_631_BLT,252,631,,,3,http://www.ResRobot.se,,
269_609_TLT_272,269,609,Länstaxi,,3,http://www.ResRobot.se,,
265_914_TLT,265,914,Länstaxi,,3,http://www.ResRobot.se,,
819_1_BXBN,819,Urkul,,,3,http://www.ResRobot.se,,
275_801_BLT,275,801,,,3,http://www.ResRobot.se,,
279_6620_BLT_262,279,620,,,3,http://www.ResRobot.se,,
269_111_BLT_271,269,111,,,3,http://www.ResRobot.se,,
275_302_BLT,275,302,,,3,http://www.ResRobot.se,,
268_51_BLT,268,51,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
276_123_TLT,276,123,Länstaxi,,3,http://www.ResRobot.se,,
279_2008_BLT_262,279,8,,,3,http://www.ResRobot.se,,
256_40_BLT,256,40,,,3,http://www.ResRobot.se,,
253_131_BLT,253,131,,,3,http://www.ResRobot.se,,
251_109_BLT,251,109,,,3,http://www.ResRobot.se,,
269_534_TLT_272,269,534,Länstaxi,,3,http://www.ResRobot.se,,
269_147_BLT_272,269,147,,,3,http://www.ResRobot.se,,
252_166_BLT,252,2,,,3,http://www.ResRobot.se,,
279_3615_BLT_262,279,615,,,3,http://www.ResRobot.se,,
276_607_BLT,276,7,,,3,http://www.ResRobot.se,,
267_233_BLT,267,233,,,3,http://www.ResRobot.se,,
275_2_BLT,275,2,,,3,http://www.ResRobot.se,,
255_68_BLT,255,68,,,3,http://www.ResRobot.se,,
265_84_TLT,265,84,Länstaxi,,3,http://www.ResRobot.se,,
279_4897_BLT_262,279,P 1,,,3,http://www.ResRobot.se,,
279_3132_BLT_262,279,132,,,3,http://www.ResRobot.se,,
279_3217_BLT_262,279,217,,,3,http://www.ResRobot.se,,
256_161_BLT,256,161,,,3,http://www.ResRobot.se,,
275_546_BLT,275,546,,,3,http://www.ResRobot.se,,
269_621_BLT_271,269,621,,,3,http://www.ResRobot.se,,
279_4882_BLT_262,279,882,,,3,http://www.ResRobot.se,,
690_830_BXBN,690,830,,,3,http://www.ResRobot.se,,
261_1364_BLT,261,64,,,3,http://www.ResRobot.se,,
252_688_TLT,252,688,Länstaxi,,3,http://www.ResRobot.se,,
279_6205_BLT_262,279,Grön,EXPRESS,,3,http://www.ResRobot.se,,
265_301_BLT,265,301,,,3,http://www.ResRobot.se,,
275_809_BLT,275,809C,,,3,http://www.ResRobot.se,,
267_258_BLT,267,258,,,3,http://www.ResRobot.se,,
269_335_BLT_272,269,335,,,3,http://www.ResRobot.se,,
269_125_BLT_272,269,125,,,3,http://www.ResRobot.se,,
267_265_BLT,267,265,,,3,http://www.ResRobot.se,,
647_4_BLT,647,4,,,3,http://www.ResRobot.se,,
279_3326_BLT_262,279,326,,,3,http://www.ResRobot.se,,
279_4942_BLT_262,279,942,,,3,http://www.ResRobot.se,,
269_620_TLT_271,269,620,Länstaxi,,3,http://www.ResRobot.se,,
269_620_TLT_272,269,620,Länstaxi,,3,http://www.ResRobot.se,,
267_102_BLT,267,102,,,3,http://www.ResRobot.se,,
265_403_BLT,265,403,,,3,http://www.ResRobot.se,,
275_647_BLT,275,647,,,3,http://www.ResRobot.se,,
