from_stop_id,to_stop_id,transfer_type,min_transfer_time
1000831,1000831,2,300
7400001,7400001,2,1200
7400002,7400002,2,900
7400003,7400003,2,900
7400004,7400004,2,540
7400005,7400005,2,600
7400006,7400006,2,600
7400007,7400007,2,600
7400008,7400008,2,600
7400009,7400009,2,600
7400011,7400011,2,180
7400012,7400012,2,300
7400014,7400014,2,300
7400015,7400015,2,240
7400016,7400016,2,600
7400017,7400017,3,
7400018,7400018,2,420
7400019,7400019,2,600
7400020,7400020,2,600
7400021,7400021,3,
7400022,7400022,2,420
7400023,7400023,2,600
7400024,7400024,3,
7400025,7400025,2,600
7400026,7400026,3,
7400027,7400027,2,600
7400028,7400028,2,420
7400029,7400029,2,
7400030,7400030,2,600
7400031,7400031,2,600
7400032,7400032,2,600
7400033,7400033,3,
7400034,7400034,2,600
7400035,7400035,2,300
7400036,7400036,2,300
7400037,7400037,2,600
7400038,7400038,2,300
7400039,7400039,2,600
7400040,7400040,2,480
7400041,7400041,2,300
7400042,7400042,2,600
7400043,7400043,2,600
7400044,7400044,2,540
7400045,7400045,2,600
7400046,7400046,2,180
7400048,7400048,2,600
7400049,7400049,2,120
7400050,7400050,2,600
7400051,7400051,2,
7400052,7400052,2,600
7400053,7400053,2,300
7400054,7400054,2,300
7400055,7400055,2,600
7400056,7400056,2,300
7400057,7400057,2,
7400058,7400058,2,540
7400059,7400059,2,
7400060,7400060,2,480
7400061,7400061,2,600
7400062,7400062,2,600
7400063,7400063,2,1800
7400064,7400064,2,600
7400065,7400065,2,300
7400066,7400066,2,300
7400067,7400067,2,300
7400069,7400069,2,240
7400070,7400070,2,480
7400071,7400071,2,300
7400072,7400072,2,480
7400073,7400073,2,420
7400074,7400074,2,
7400075,7400075,2,300
7400076,7400076,2,600
7400077,7400077,2,600
7400078,7400078,2,600
7400079,7400079,2,240
7400080,7400080,2,600
7400081,7400081,2,300
7400082,7400082,2,180
7400083,7400083,3,
7400084,7400084,2,600
7400086,7400086,2,600
7400087,7400087,2,300
7400089,7400089,2,600
7400090,7400090,2,600
7400091,7400091,2,
7400092,7400092,3,
7400093,7400093,2,600
7400094,7400094,2,300
7400095,7400095,2,300
7400096,7400096,2,300
7400097,7400097,2,1800
7400098,7400098,2,300
7400099,7400099,2,480
7400100,7400100,2,600
7400102,7400102,2,420
7400103,7400103,2,
7400104,7400104,2,180
7400105,7400105,2,600
7400106,7400106,3,
7400107,7400107,2,600
7400108,7400108,2,300
7400109,7400109,2,300
7400110,7400110,2,300
7400111,7400111,2,600
7400112,7400112,2,600
7400113,7400113,2,300
7400114,7400114,2,
7400115,7400115,2,600
7400116,7400116,2,
7400118,7400118,2,300
7400119,7400119,2,300
7400120,7400120,2,600
7400121,7400121,2,300
7400122,7400122,2,600
7400123,7400123,2,600
7400124,7400124,2,300
7400125,7400125,3,
7400126,7400126,3,
7400127,7400127,3,
7400128,7400128,2,480
7400129,7400129,2,300
7400130,7400130,2,600
7400131,7400131,2,
7400132,7400132,2,300
7400133,7400133,2,600
7400134,7400134,2,
7400135,7400135,2,600
7400136,7400136,2,
7400137,7400137,3,
7400138,7400138,2,600
7400140,7400140,2,600
7400141,7400141,2,240
7400142,7400142,2,300
7400143,7400143,2,300
7400144,7400144,2,300
7400145,7400145,2,600
7400146,7400146,2,600
7400147,7400147,3,
7400148,7400148,2,300
7400149,7400149,2,600
7400150,7400150,2,600
7400151,7400151,3,
